epoch,KF_E_m,KF_N_m,KF_U_m,KF_nobias_E_m,KF_nobias_N_m,KF_nobias_U_m,Single_E_m,Single_N_m,Single_U_m,C1_sat_count,C2_sat_count,L1_sat_count,L2_sat_count,ref_sat,condition,block_mode,R_diff_diag_coeff,R_diff_offdiag_coeff
1,-0.00385759355028667,-0.00263415851974886,0.00819281986203643,-0.00290148386989207,0.000535629438079488,0.00441698566124258,-0.0198867193310051,-0.033933867280234,0.00589107466175413,8,8,8,8,23,normal,sector,4,2
2,-0.033581941336356,-0.000740042996866075,0.0129075915865077,-0.0316697219755668,0.00559953291879063,0.00535592318491995,-0.0492441876485534,0.0191616973471644,-0.102629175059743,8,8,8,8,23,normal,sector,4,2
3,-0.0911859383056565,0.000618157361035094,0.0135185697108868,-0.0883176092644727,0.0101275212345201,0.0021910671085052,-0.0830151598095437,0.0702704606281355,-0.198785048772302,8,8,8,8,23,normal,sector,4,2
4,-0.13268546760151,0.00242221480339209,0.016158241973428,-0.128861028879932,0.0151013666347055,0.0010549051702526,-0.0929263148262473,0.131855963898592,-0.0371652333266232,8,8,8,8,23,normal,sector,4,2
5,-0.162598151936295,0.00468420900954549,0.0160201829602728,-0.157817603534322,0.0205331487986872,-0.00285898804369649,-0.0612614752064017,0.118519330521194,-0.137557129749332,8,8,8,8,23,normal,sector,4,2
6,-0.187835835869854,0.00614616802796196,0.0145868652068205,-0.182099177787486,0.0251648957749321,-0.00806813999794262,-0.154500463878477,0.0866803186033046,-0.0910576737781622,8,8,8,8,23,normal,sector,4,2
7,-0.236005335140174,0.00548205596417261,0.0133241806347111,-0.229312567377411,0.0276705716689711,-0.0131066587708459,-0.267135906484826,0.00321968645066021,-0.116226074816088,8,8,8,8,23,normal,sector,4,2
8,-0.268979349474698,0.00653599297081406,0.0152182848670902,-0.261330472031541,0.0318942966334409,-0.0149883887392606,-0.317188895111665,-0.0213818885451395,-0.153174618868956,8,8,8,8,23,normal,sector,4,2
9,-0.310748834663743,0.00664335590952122,0.0150045799007198,-0.302143847540192,0.0351714475299764,-0.0189779279064249,-0.365663946528738,-0.0157553019680247,-0.106600389031083,8,8,8,8,23,normal,sector,4,2
10,-0.34085467115271,0.00669414675142391,0.0141117017115393,-0.331293574348764,0.0383920263297074,-0.0236466402963992,-0.291516396502168,0.0150956354568305,-0.207449082541689,8,8,8,8,23,normal,sector,4,2
