time,epoch,E_direction,N_direction,U_direction,error,residual,satellite_count,note
2026-06-01 09:00:00,1,0.012,-0.018,0.045,0.052,0.006,17,start
2026-06-01 09:00:01,2,0.015,-0.016,0.041,0.048,0.004,18,
2026-06-01 09:00:02,3,0.019,-0.011,0.038,0.044,0.007,18,
2026-06-01 09:00:03,4,0.018,-0.009,,0.039,0.005,19,missing U
2026-06-01 09:00:04,5,0.022,-0.006,0.031,0.035,0.003,19,
2026-06-01 09:00:05,6,0.027,-0.002,0.030,0.033,0.004,20,
2026-06-01 09:00:06,7,0.025,0.001,0.026,0.030,,20,missing residual
2026-06-01 09:00:07,8,0.020,0.005,0.024,0.028,0.002,21,
2026-06-01 09:00:08,9,0.014,0.007,0.021,0.025,0.002,21,
2026-06-01 09:00:09,10,0.011,0.010,0.020,0.023,0.001,22,end
